Keyword,Title,Company,Location,Job Description,Salary,Link
인공지능,인공지능팀 AI 연구원 모집,그래디언트 바이오컨버전스,서울전체경력석사↑정규직,"AI(인공지능),AI(인공지능),Python,연구원,C++외수정일 24/11/06",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49326920&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7f231825-7dc8-4a06-828c-8aca5438b432
인공지능,Generative AI 및인공지능유지 관리 연구,(주)씨메스,서울전체신입·경력대졸↑정규직,"AI(인공지능),딥러닝,Python,머신러닝,빅데이터외등록일 24/11/28",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487283&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7f231825-7dc8-4a06-828c-8aca5438b432
인공지능,[AI SaaS 기업]인공지능R&D 연구원 모집,(주)퀀텀에이아이,서울강남구경력1년↑대졸↑정규직,"AI(인공지능),딥러닝,알고리즘,Python,연구원외등록일 24/11/12",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49381200&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7f231825-7dc8-4a06-828c-8aca5438b432
인공지능,AI LLM 연구원 -인공지능개발,(주)와이오엘,서울서초구경력무관대졸↑계약직,"AI(인공지능),딥러닝,Python,머신러닝,데이터엔지니어외등록일 24/11/12",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49385216&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7f231825-7dc8-4a06-828c-8aca5438b432
인공지능,[병역특례]인공지능연구원 (전문연구요원),(주)제이엘케이,서울강남구경력무관대졸↑전문연구요원·산업기능요원,"AI(인공지능),알고리즘,Python,C++,머신러닝외등록일 24/11/15",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409831&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7f231825-7dc8-4a06-828c-8aca5438b432
인공지능,의료인공지능연구 / 엔지니어 모집,주식회사인메드데이터,서울송파구경력무관석사↑정규직,"AI(인공지능),Python,연구원,머신러닝,Pytorch외수정일 24/11/26",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472910&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7f231825-7dc8-4a06-828c-8aca5438b432
인공지능,(코스닥상장사)인공지능연구 전문연구요원 (병역특례) 모집,(주)씨유박스,서울강남구경력무관석사↑전문연구요원·병역특례,"AI(인공지능),AI(인공지능),딥러닝,알고리즘,Python외수정일 24/10/04",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49133116&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7f231825-7dc8-4a06-828c-8aca5438b432
인공지능,트래블테크 분야인공지능기술 융합 연구원,(주)휴플,제주제주시경력1년↑대졸↑정규직,"AI(인공지능),딥러닝,알고리즘,머신러닝,빅데이터외등록일 24/11/30",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501076&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7f231825-7dc8-4a06-828c-8aca5438b432
인공지능,제조산업을 위한인공지능플랫폼 연구 개발자 모집 [ 경력],(주)인텔리즈,서울성동구경력무관학력무관정규직,"AI(인공지능),딥러닝,C++,머신러닝,빅데이터외수정일 24/11/27",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49381125&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7f231825-7dc8-4a06-828c-8aca5438b432
인공지능,인공지능기반 제약사 AI연구소 플랫폼 기술연구&웹백앤드 개발,(주)에이치알타운,서울마포구경력3년↑학력무관정규직,"AI(인공지능),알고리즘,Python,백엔드/서버개발,Java외수정일 24/12/01",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450284&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7f231825-7dc8-4a06-828c-8aca5438b432
인공지능,인공지능교육기술연구소 연구기획 담당자 채용,(주)위키드스톰,서울강서구경력 6~10년대졸↑정규직,"R&D기획,기술기획,기획,SI·시스템통합,솔루션업체외등록일 24/11/15",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409236&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7f231825-7dc8-4a06-828c-8aca5438b432
인공지능,서울대학교병원 AI/데이터사이언스 연구원 및 대학원생 채용,서울대학교병원,서울종로구경력무관대졸↑계약직,"AI(인공지능),AI(인공지능),딥러닝,Python,연구원외등록일 24/10/21",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49233336&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,AI(딥러닝) 연구 및 개발,(주)뉴로다임,서울전체신입·경력대졸↑정규직,"AI(인공지능),딥러닝,Python,머신러닝,빅데이터외등록일 24/11/01",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49319911&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,제이씨현시스템(주) AI연구소 AI솔루션 개발자 모집,제이씨현시스템㈜,서울전체경력무관대졸↑정규직,"AI(인공지능),딥러닝,Python,머신러닝,솔루션외수정일 24/11/18",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49308082&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,[피플앤드테크놀러지] AI연구소 연구원 채용,(주)피플앤드테크놀러지,서울강남구신입·경력학력무관정규직,"AI(인공지능),AI(인공지능),딥러닝,Python,연구원외수정일 24/11/14",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49265197&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,AI연구소 AI기반연구팀 팀장(경력),(주)아이스크림아트,서울강남구경력7년↑대졸↑정규직,"AI(인공지능),AI(인공지능),연구원,R&D,솔루션외수정일 24/11/28",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490921&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,연구소 빅데이터분석/AI솔루션개발자/Java 개발자 모집,㈜이씨마이너,"서울강남구경력무관대졸↑정규직3,500 만원","네트워크,CSS,Java,Javascript,RestAPI외수정일 24/11/18",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49420870&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,서울대학교 AI연구원 서울 AI 허브(2명),서울대학교 AI연구원,서울서초구신입·경력학력무관계약직,"시설관리,회계,감사,재무,4대보험외수정일 24/11/28",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484472&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,[LG AI연구원/마곡/자체계약직] 인사지원 사무보조 모집,(주)맨파워그룹코리아,"서울전체경력무관고졸↑계약직3,200 만원","사무보조,급여(Payroll),복리후생,실적관리,인력관리외등록일 24/11/13",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390374&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=3ff5e2b0-41ff-4a34-9a77-c24dce24a977
인공지능,제이씨현시스템(주) AI연구소장 채용,제이씨현시스템㈜,서울전체경력대졸↑정규직,"AI(인공지능),딥러닝,Python,머신러닝,솔루션외등록일 24/11/18",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49418832&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,AI연구원 (Computer Vision AI),(주)딥노이드,서울전체신입·경력석사↑정규직,"AI(인공지능),딥러닝,알고리즘,Python,머신러닝외등록일 24/11/14",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49402678&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,[의료AI기업] 영상기반 AI 연구원 / 뇌공학 연구원 모집,뉴로핏(주),서울강남구신입·경력석사↑정규직,"AI(인공지능),AI(인공지능),딥러닝,알고리즘,Python외등록일 24/11/29",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492971&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,[위즈베라/AI] AI 연구소 경력 연구원 및 팀장 채용,(주)위즈베라,서울성동구경력 1~4년대졸↑정규직,"AI(인공지능),Python,머신러닝,클라우드,모델링외등록일 24/11/06",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49348498&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
인공지능,[AI기술연구소] AI개발 엔지니어(신입~경력),코가로보틱스(주),서울성동구경력무관대졸↑정규직,"AI(인공지능),딥러닝,Python,C++,머신러닝외수정일 24/10/14",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49185937&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=a45c336d-96a9-45cc-8609-21b87f76a3f6
